Replace Part C7 Capacitor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Capacitor from capacitors.DbLib
Replace Part D5 RS-485 in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with RS-485 from ic.DbLib
Replace Part D6 TCAN1051 in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with TCAN1051 from ic.DbLib
Replace Part R1 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part R2 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part R3 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part R4 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part R5 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part R6 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part R7 Resistor in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with Resistor from resistors.DbLib
Replace Part XS1 con-ru-f-9 in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with con-ru-f-9 from connectors.DbLib
Replace Part XS2 con-ru-f-9 in C:\Users\Public\Documents\Altium\Projects\Bread_board\Ports.SchDoc with con-ru-f-9 from connectors.DbLib
