Designator,Part Number,Value,Manufacturer,Tolerance,Size,Manufacturer Part Number

"BQ1","ABS07-32.768KHZ-7-T","32.768 kHz","Abracon LLC","","",""
"BQ2","X32258MOB4SI","8.0 MHz","YXC","","",""
"C1, C2","C0603","0,01 ìê","","","",""
"C3, C8, C9, C10, C11, C12, C13, C14","C0603, C0805","0,1uF","","","",""
"C4, C5","C0603","33pF","","","",""
"C6, C7","C0603","100nF","","","",""
"C15","C0805","4,7uF","","","",""
"C16, C20","C0603","1uF","","","",""
"C17, C21","C0603","10nF","","","",""
"C18","C0603","20 pF","","","",""
"C19, C23, C24","C0603","20pF","","","",""
"C22","C0603","0,1 uF","","","",""
"C25, C26, C27, C28","C0603","0,1 nF","","","",""
"D1","","","","","",""
"D2","","","","","",""
"D3","","","","","",""
"D4","ADM3485EARZ","","UMW","","SOP-8",""
"D5","TCAN1051VDQ1","","Texas Instruments","","SOIC-8",""
"D6","GD32F407VGT6","","GigaDevice","","LQFP-100",""
"D7, D8, D9, D10, D11, D12","","","","","",""
"R1, R2, R3","0 0603","120","YAGEO","","0603","RC0603JR-070RL"
"R4, R5","3266W ±10% 10K","10k","","±10%","3266W",""
"R6, R7, R8, R9, R10, R11","0 0603","500","YAGEO","","0603","RC0603JR-070RL"
"R12, R13, R14, R15, R16, R17, R18","0 0603","10k","YAGEO","","0603","RC0603JR-070RL"
"R19, R20, R23, R24","0 0603","3090","YAGEO","","0603","RC0603JR-070RL"
"R21, R25","0 0603","5.8k","YAGEO","","0603","RC0603JR-070RL"
"R22, R26","0 0603","10 k","YAGEO","","0603","RC0603JR-070RL"
"SB1, SB2, SB3, SB4, SB5","FSM10JH","","TE Connectivity","","",""
"U1, U2","","","","","",""
"XP1","105017-0001","","Molex","","",""
"XP2, XP3, XP8, XP11","DS1021-1*3SF1-1","","CONNFLY","","",""
"XP4, XP5","DS1021-1*5SF1-1","","CONNFLY","","",""
"XP6, XP7","DS1021-1*4SF1-1","","CONNFLY","","",""
"XP9, XP10","DS1021-1*2SF1-1","","CONNFLY","","",""
"XS1, XS2","DRB-9FA","","CONNFLY","","",""
